State,Country,MethAcq,Drug, Potency , Nt Wt ,Seize Year,Seize Month, Post Price 
IL,,P,COCAINE, 80 , 7 ,2007,1, 180 
CT,,P,COCAINE, 83 , 3 ,2007,1, 160 
TX,,P,COCAINE, 89 , 1 ,2007,1, 160 
CT,,P,COCAINE, 56 , 2 ,2007,1, 160 
IN,,P,COCAINE, 54 , 5 ,2007,1, 160 
NV,,P,COCAINE, 62 , 6 ,2007,1, 160 
DC,,P,COCAINE, 84 , 2 ,2007,1, 160 
MD,,P,COCAINE HYDROCHLORIDE, 63 , 3 ,2007,1, 150 
NV,,P,COCAINE, 86 , 13 ,2007,1, 150 
NV,,P,COCAINE, 76 , 6 ,2007,1, 150 
UT,,P,COCAINE HYDROCHLORIDE, 52 , 5 ,2007,1, 150 
VA,,P,COCAINE, 62 , 2 ,2007,1, 150 
LA,,P,COCAINE, 81 , 4 ,2007,1, 150 
CA,,P,COCAINE, 50 , 5 ,2007,1, 150 
FL,,P,COCAINE, 80 , 1 ,2007,1, 150 
CA,,P,COCAINE, 76 , 3 ,2007,1, 150 
DC,,P,COCAINE, 95 , 0 ,2007,1, 150 
CA,,P,COCAINE, 73 , 4 ,2007,1, 140 
CA,,P,COCAINE HYDROCHLORIDE, 83 , 3 ,2007,1, 140 
